Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,547203,Alex Collins,RB,Arkansas,SEC,179,0.126,-0.505,0.14,0.059,0.15,0.554,0.106,0.219,22.502,-2.02,24.521,5.945,8.99,8.864,15.723,6.778
2014,532182,Lazedrick Thompson,RB,Tulane,American Athletic,104,0.131,-0.782,0.139,-0.026,0.167,0.389,0.156,0.016,13.585,-0.782,14.366,-1.288,5.192,7.005,13.277,0.308
2014,514105,Daxx Garman,QB,Oklahoma State,Big 12,318,0.133,0.13,0.169,0.032,0.028,0.482,0.086,0.204,42.437,37.692,4.744,4.056,2.929,38.1,16.276,26.161
2014,515360,Angel Santiago,QB,Army,FBS Independents,252,0.133,0.011,0.19,0,0.132,0.294,0.044,0.283,33.608,0.871,32.737,0.007,10.952,21.779,6.971,26.637
2014,518180,Chase Price,RB,San Diego State,Mountain West,153,0.138,0.237,0.119,-0.014,0.135,0.724,0.103,0.265,21.111,5.928,15.183,-0.992,7.547,15.937,12.363,8.748
2014,550654,Thomas Tyner,RB,Oregon,Pac-12,117,0.139,0.319,0.115,-0.047,0.051,1.097,0.048,0.675,16.285,4.462,11.823,-2.891,1.832,18.642,4.815,11.471
2014,553060,Gerard Johnson,RB,Old Dominion,Sun Belt,121,0.139,0.054,0.165,0.056,-0.236,0.736,0.132,0.161,16.813,1.511,15.302,3.315,-9.199,13.985,12.294,4.519
2014,515454,Reilly O'Toole,QB,Illinois,Big Ten,254,0.14,0.115,0.213,0.026,0.239,0.2,0.019,0.307,35.578,21.706,13.872,2.701,18.148,14.428,2.774,32.804
2014,532113,Matt Davis,QB,SMU,American Athletic,227,0.141,-0.01,0.43,0.069,-0.141,0.599,0.105,0.194,32.053,-1.521,33.574,5.628,-11.522,36.554,14.027,18.026
2014,3126072,A.J. Ouellette,RB,Ohio,Mid-American,181,0.141,0.257,0.124,-0.038,0.173,0.697,0.079,0.411,25.583,5.917,19.667,-3.272,11.59,17.427,11.611,13.973
