season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2022,Nick Williams,8006,DI,NYG,8,8,2,,0,0,21,0,0,60,59.9,83.7,52.7,63.2,76.8,1,6,0,0,,5,1,0,0,0,0,0,0,1,0,1,227,226,7,113,29,77,0,1,122,104,0,6,11,0,0,7,0,0,0,
2022,Tony Jefferson,8361,S,NYG,9,3,0,92.3,0,0,21,0,0,77,65.3,80.6,44.4,35.4,64.5,0,2,0,0,14,9.5,2,1,0,87.5,12,0,0,107,6,109,164,22,0,0,22,0,14,142,35,20,15,8,16,0,13,2,0,65,39,5.4
2022,Brandon Copeland,8378,ED,BLT,3,3,0,,0,0,3,0,0,61.7,53.7,78.6,53.4,55.7,75.2,0,2,0,0,,0,0,0,0,0,0,1,0,0,1,2,52,51,0,0,51,0,0,1,33,17,0,2,1,0,0,3,0,0,0,
2022,Chris Banjo,8419,S,ARZ,11,2,0,100,0,0,1,1,1,59.7,67.7,77.1,58.7,76.7,85.5,0,0,0,0,7,0,0,0,0,95.8,1,0,0,19,4,32,79,1,0,0,1,0,48,78,1,46,5,2,5,0,1,0,0,7,1,7
2022,Nickell Robey-Coleman,8483,CB,LV,1,0,0,,0,0,23,0,0,67.8,64.2,72.8,52.4,60,,0,0,0,0,,,0,0,0,0,0,0,0,1,0,8,14,0,0,0,0,0,0,14,3,3,13,0,0,0,0,0,0,0,0,
2022,Mike Purcell,8530,DI,DEN,17,16,0,,0,0,10,1,0,55.4,67.7,74.3,58.6,69.9,30,2,7,0,0,,14.3,8,0,1,0,0,1,1,0,0,0,529,528,303,181,1,43,0,1,255,274,0,22,32,0,0,10,0,0,0,
2022,Jadeveon Clowney,8636,ED,CLV,12,5,3,100,0,1,8,1,0,61.7,75.8,64.5,70,74.3,74.7,2,24,0,0,21,7.4,2,0,2,118.8,1,3,0,3,0,4,494,490,0,4,461,25,0,4,305,185,0,15,20,4,1,29,0,21,27,21
2022,Khalil Mack,8640,ED,LAC,17,16,2,100,2,2,27,2,0,87.1,71.1,64.5,68.2,61.2,45.6,5,43,0,0,24,19.2,10,0,3,118.3,5,8,0,1,2,43,860,842,0,0,837,5,0,18,474,343,15,25,26,4,5,56,0,62,30,12.4
2022,Anthony Barr,8644,LB,DAL,14,11,0,80,0,0,9,2,0,57.1,59.7,58.7,63.9,61.6,64.6,3,4,0,0,33,9.7,6,0,2,115,20,1,0,470,10,304,608,90,0,0,90,0,5,518,40,264,33,26,45,1,25,8,1,210,140,10.5
2022,Aaron Donald,8648,DI,LA,11,10,2,,0,1,26,1,0,61.4,90.5,62.4,90.7,75.6,53.9,7,28,0,0,,8.2,4,0,2,0,0,5,0,3,0,0,615,612,13,194,63,342,0,3,396,219,0,33,35,6,0,40,0,0,0,
