Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,3122449,James Washington,WR,Oklahoma State,Big 12,60,0.316,0.295,1.519,0.269,0.442,0.184,0.38,0.204,18.933,17.414,1.519,6.446,10.165,2.208,14.439,4.494
2014,550967,Malik Zaire,QB,Notre Dame,FBS Independents,68,0.316,0.388,0.234,0.119,0.141,1.185,0.292,0.354,21.461,13.974,7.486,2.853,3.378,20.141,12.264,9.197
2014,532925,Kevin Ellison,QB,Georgia Southern,Sun Belt,295,0.317,0.21,0.403,0.155,0.318,0.549,0.218,0.501,93.496,27.783,65.714,16.88,34.006,41.713,41.873,51.623
2014,512191,Jacoby Brissett,QB,NC State,ACC,486,0.318,0.252,0.581,0.194,0.282,0.545,0.273,0.394,154.504,98.159,56.345,36.199,44.619,73.541,83.26,71.244
2014,547205,Damon Mitchell,WR,Arkansas,SEC,7,0.318,-0.574,0.467,0.574,0.127,0,0.187,0.645,2.227,-0.574,2.8,1.721,0.506,0,0.937,1.29
2014,3116680,Austin Proehl,WR,North Carolina,ACC,20,0.318,0.368,-0.634,0.204,0.022,1.003,0.387,-0.301,6.363,6.997,-0.634,2.242,0.109,4.012,6.966,-0.603
2014,535495,Devin Chafin,RB,Baylor,Big 12,84,0.319,0.779,0.296,0.233,0.133,0.879,0.332,0.248,26.801,3.116,23.685,8.62,3.579,12.306,23.571,3.23
2014,550016,Jordan Wilkins,RB,Ole Miss,SEC,51,0.319,0.573,0.297,0.093,0.004,1.169,0.375,0.02,16.265,2.292,13.973,2.508,0.056,9.35,16.105,0.161
2014,530974,Nate Iese,TE,UCLA,Pac-12,14,0.319,0.319,0,0.483,-0.197,0.625,0.357,-0.168,4.471,4.471,0,3.381,-0.786,1.876,4.638,-0.168
2014,515471,Matt LaCosse,TE,Illinois,Big Ten,24,0.32,0.32,0,-0.158,0.905,1.072,0.173,0.762,7.677,7.677,0,-2.209,4.527,5.358,3.106,4.571
2014,519988,T.J. Lowder,WR,Florida International,Conference USA,9,0.32,0.32,0,-0.551,0.871,0.386,-0.374,1.708,2.877,2.877,0,-2.206,0.871,1.159,-2.247,5.124
2014,545682,A.J. Erdely,QB,Middle Tennessee,Conference USA,8,0.321,-0.404,0.425,-0.266,0.943,-0.404,0.425,-0.404,2.571,-0.404,2.975,-0.798,3.773,-0.404,2.975,-0.404
2014,549866,Ricky Seals-Jones,WR,Texas A&M,SEC,66,0.321,0.321,0,0.367,0.265,0.63,0.095,0.647,21.155,21.155,0,7.34,7.961,9.446,3.698,17.457
2014,517452,Jamison Crowder,WR,Duke,ACC,143,0.322,0.321,0.384,0.265,0.169,0.464,0.269,0.4,46.094,44.944,1.151,16.724,6.256,17.64,22.9,23.195
2014,3128248,Dominique Booth,WR,Indiana,Big Ten,10,0.322,0.322,0,0.776,0.293,0.244,0.492,0.151,3.217,3.217,0,0.776,1.465,0.977,2.462,0.755
2014,500412,Tony Jones,WR,Northwestern,Big Ten,64,0.322,0.338,-0.011,-0.176,0.155,1.065,0.169,0.532,20.609,20.642,-0.033,-3.528,3.418,22.37,6.241,14.368
2014,550814,Jacquille Veii,WR,Maryland,Big Ten,49,0.322,0.354,0.268,0.42,0.032,0.408,0.217,0.475,15.798,10.975,4.823,9.248,0.583,3.262,6.297,9.501
2014,517148,LaDarius Brown,WR,Sam Houston State,Conference USA,2,0.323,0.323,0,0,0.323,0,0,0.323,0.646,0.646,0,0,0.646,0,0,0.646
2014,535972,Kale Pearson,QB,Air Force,Mountain West,339,0.324,0.448,0.185,0.159,0.306,0.517,0.303,0.357,109.821,80.274,29.547,20.19,33.942,46.509,62.396,47.424
2014,550871,Lucky Whitehead,WR,Florida Atlantic,American Athletic,93,0.324,0.387,-0.005,0.311,0.367,0.213,0.361,0.244,30.09,30.17,-0.08,13.69,9.54,4.694,22.77,7.32
2014,511982,Brett Hundley,QB,UCLA,Pac-12,513,0.325,0.284,0.473,0.272,0.189,0.556,0.246,0.466,166.863,113.461,53.402,52.95,34.361,71.21,80.73,86.133
2014,3116389,Samaje Perine,RB,Oklahoma,Big 12,276,0.326,0.81,0.298,0.234,0.309,0.802,0.294,0.505,90.051,12.149,77.901,33.679,30.286,24.054,68.823,21.228
2014,504175,Connor Neighbors,FB,LSU,SEC,5,0.327,0.327,0,0.119,0.638,0,0.327,0,1.633,1.633,0,0.357,1.276,0,1.633,0
2014,512675,Joe Gray,QB,San José State,Mountain West,326,0.327,0.323,0.357,-0.037,0.287,0.796,0.12,0.626,106.467,92.915,13.552,-4.124,34.163,67.632,23.203,83.264
2014,504744,Kenny Bassett,RB,Oregon,Pac-12,33,0.328,2.031,0.218,0.033,0.509,0.552,0.237,0.511,10.833,4.062,6.771,0.431,7.64,2.761,5.207,5.626
