Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
176,Middle Tennessee,33,14,19,0.424,-7.24,-0.3,7,9,11,6,1,10,2167,2319,1345,854,1945,0.439,194,589,0.329,417,574,0.726,354,1194,367,216,112,367,566
177,Milwaukee,35,20,15,0.571,-4.77,-4.23,12,8,12,4,6,9,2782,2753,1425,962,2194,0.438,288,836,0.344,541,724,0.747,413,1258,540,244,149,404,638
178,Minnesota,32,18,14,0.563,9.91,6.25,9,11,16,4,2,8,2413,2296,1285,843,1884,0.447,203,559,0.363,407,563,0.723,327,1053,475,230,100,347,541
179,Mississippi,32,20,12,0.625,8.57,7.54,7,11,14,4,4,7,2398,2365,1280,843,1916,0.44,239,708,0.338,440,619,0.711,419,1186,467,210,97,398,554
180,Mississippi State,34,21,13,0.618,14.92,9.22,8,10,11,4,2,8,2542,2348,1365,817,1962,0.416,237,807,0.294,477,635,0.751,335,1105,396,249,129,427,616
181,Mississippi Valley State,31,1,30,0.032,-26.15,-3.9,1,17,1,8,0,22,1719,2409,1245,835,1711,0.488,231,624,0.37,508,711,0.714,340,1111,452,273,98,354,519
182,Missouri,32,8,24,0.25,3.52,7.55,0,18,6,11,2,10,2309,2438,1285,809,1818,0.445,249,724,0.344,571,771,0.741,388,1188,427,206,108,409,547
183,Missouri State,33,17,16,0.515,1.12,1.15,8,12,9,5,4,10,2351,2352,1340,859,2067,0.416,265,802,0.33,369,515,0.717,313,1131,428,215,107,301,548
184,Monmouth,33,18,15,0.545,-3,-2.81,10,8,13,1,2,13,2390,2396,1321,819,1919,0.427,282,829,0.34,476,639,0.745,381,1219,460,185,126,400,520
185,Montana,34,23,11,0.676,-0.47,-3.66,12,6,13,3,8,7,2625,2433,1365,868,1946,0.446,211,616,0.343,486,670,0.725,297,1096,376,188,103,333,551
186,Montana State,34,17,17,0.5,-4.57,-3.89,9,9,10,7,4,10,2554,2518,1375,900,1934,0.465,224,671,0.334,494,694,0.712,316,1192,420,201,83,463,586
